Concepticon_ID_x,Concepticon_ID_y,clics_form_x,clics_form_y,cosine_similarity
1313,410,buwan,kamote,0.20589271
1313,1844,buwan,paraw,0.4029466
1313,1803,buwan,kahoy,0.12998429
1313,3318,buwan,gaodoar,0.07952929
1313,942,buwan,pulotpukyutan,0.25891048
1313,1787,buwan,panghabi,0.18764406
1313,634,buwan,laman,0.21024556
1313,284,buwan,asarol,0.1087351
1313,133,buwan,habi,0.07909737
1313,140,buwan,palayan,0.21886268
1313,1524,buwan,alak,0.1832641
1313,2794,buwan,linang,0.29897416
1313,225,buwan,halo,0.13229808
1313,1537,buwan,tagulan,0.29442233
1313,1075,buwan,panghuli,0.1642515
1313,3320,buwan,silo,0.06930515
1313,1342,buwan,taginit,0.33572444
1313,1276,buwan,taglagas,0.31508395
1313,1471,buwan,taglamig,0.34685516
1313,977,buwan,palaso,0.13930316
1313,1539,buwan,bilao,0.07782177
1313,994,buwan,busog,0.08485137
1313,245,buwan,walis,0.12119429
1313,677,buwan,palakol,0.085369766
1313,934,buwan,kalabawramo,0.3172339
1313,1352,buwan,kampit,0.15815754
1313,1895,buwan,damit,0.21793792
1313,945,buwan,sibat,0.08344896
1313,3321,buwan,lanaw,0.30728826
1313,3324,buwan,bakal,0.18387936
1313,3325,buwan,perlas,0.13247181
1313,730,buwan,ahas,0.09551247
1313,3154,buwan,baboyramo,0.29257998
1313,3326,buwan,katad,0.112968534
1313,1616,buwan,kayo,0.22563586
1313,1927,buwan,kawayanspinyspecies,0.29243454
1313,2680,buwan,gulok,0.11028917
1313,846,buwan,tigre,0.20795578
1430,1793,bituwin,kabag,0.08266171
1430,937,bituwin,ibon,0.24219799
1430,1490,bituwin,daga,0.06370085
1430,2348,bituwin,alimango,0.07080499
1430,1350,bituwin,matsing,0.057272024
1430,862,bituwin,asukal,0.18229502
1430,2769,bituwin,karnengbaboy,0.14588957
1430,665,bituwin,pukyutan,0.21137688
1430,1100,bituwin,lutu,0.05690927
1430,1261,bituwin,awit,0.22643931
1430,1435,bituwin,maghanap,0.11019068
1430,354,bituwin,bayo,0.09911583
1430,926,bituwin,bigas,0.14941213
1430,1191,bituwin,kanin,0.12830405
1430,748,bituwin,hasik,0.1400766
1430,146,bituwin,tubo,0.15515691
1430,1369,bituwin,ginto,0.19710712
1430,410,bituwin,kamote,0.1460096
1430,1844,bituwin,paraw,0.21334167
1430,1803,bituwin,kahoy,0.13324359
